StasjonsNavn,StrekningsProsjekt,date,MaalepunktID,Lat,Lon,PostKode,AarligForbruk,ForbruksVerdi,Temperatur
743.201,E39 Mandal øst-Mandal by,2021-09-30,7.070575000765196e+17,58.094500000000004,7.62378,4516.0,17402.0,1.8505357142857142,13.469642857142858
743.201,E39 Mandal øst-Mandal by,2021-10-31,7.070575000765196e+17,58.094500000000004,7.62378,4516.0,17402.0,1.8951069892473118,10.747854838709676
743.201,E39 Mandal øst-Mandal by,2021-11-30,6.834889167406355e+17,56.15801666666667,7.369654,4365.466666666666,16821.933333333334,1.8531944444444444,6.1288888888888895
743.201,E39 Mandal øst-Mandal by,2021-12-31,6.826762069704326e+17,56.091241379310354,7.360891034482759,4360.275862068966,16801.931034482757,1.7532471264367815,0.4889367816091954
743.202,E39 Mandal øst-Mandal by,2021-08-31,7.070575000765212e+17,58.067910000000005,7.53446,4516.0,108627.0,9.930916666666667,16.56416666666667
743.202,E39 Mandal øst-Mandal by,2021-09-30,7.070575000765212e+17,58.067910000000005,7.53446,4516.0,108627.0,11.308444444444444,14.158333333333333
743.202,E39 Mandal øst-Mandal by,2021-10-31,7.070575000765212e+17,58.067910000000005,7.53446,4516.0,108627.0,11.242318817204302,10.747854838709676
743.202,E39 Mandal øst-Mandal by,2021-11-30,6.834889167406372e+17,56.132313,7.283311333333334,4365.466666666666,105006.1,10.849291666666666,6.1288888888888895
743.202,E39 Mandal øst-Mandal by,2021-12-31,6.826762069704343e+17,56.06556827586208,7.274651034482758,4360.275862068966,104881.24137931035,10.886738505747127,0.4889367816091954
Bråten bru,E18 Arendal-Tvedestrand,2021-01-31,7.070575000763985e+17,58.5771,8.90563,4849.0,44520.0,8.204126344086022,-3.7447580645161294
Bråten bru,E18 Arendal-Tvedestrand,2021-02-28,7.070575000763986e+17,58.57710000000001,8.90563,4849.0,44520.0,7.10375,-2.129761904761905
Bråten bru,E18 Arendal-Tvedestrand,2021-03-31,7.070575000763985e+17,58.5771,8.90563,4849.0,44520.0,5.463591047218326,3.6749532491818604
Bråten bru,E18 Arendal-Tvedestrand,2021-04-30,7.070575000763986e+17,58.5771,8.90563,4849.0,44520.0,4.133208333333333,4.92125
Bråten bru,E18 Arendal-Tvedestrand,2021-05-31,7.070575000763985e+17,58.5771,8.90563,4849.0,44520.0,2.8936021505376344,9.45
Bråten bru,E18 Arendal-Tvedestrand,2021-06-30,7.070575000763986e+17,58.5771,8.90563,4849.0,44520.0,2.241027777777778,15.854999999999999
Bråten bru,E18 Arendal-Tvedestrand,2021-07-31,7.070575000763985e+17,58.5771,8.90563,4849.0,44520.0,2.478145161290323,18.305913978494623
Bråten bru,E18 Arendal-Tvedestrand,2021-08-31,7.070575000763985e+17,58.5771,8.90563,4849.0,44520.0,3.2626075268817205,15.153897849462366
Bråten bru,E18 Arendal-Tvedestrand,2021-09-30,6.599203334046387e+17,54.671960000000006,8.311921333333334,4525.733333333334,41552.0,4.046152777777778,11.999027777777778
Bråten bru,E18 Arendal-Tvedestrand,2021-10-31,6.842491936223213e+17,56.68751612903226,8.618351612903226,4692.580645161291,43083.87096774193,5.405487634408603,8.809252688172043
Bråten bru,E18 Arendal-Tvedestrand,2021-11-30,6.834889167405187e+17,56.62453000000001,8.608775666666668,4687.366666666667,43036.0,7.062277777777778,3.842638888888889
Bråten bru,E18 Arendal-Tvedestrand,2021-12-31,6.826762069703159e+17,56.55720000000001,8.598539310344828,4681.793103448276,42984.8275862069,8.19242816091954,-2.311494252873563
Europaveien0,E18 Tvedestrand-Bamble,2021-01-31,7.070575000423187e+17,59.00007,9.59379,3967.0,81564.0,24.94602419354839,0.0
Europaveien0,E18 Tvedestrand-Bamble,2021-02-28,7.070575000423187e+17,59.00007,9.59379,3967.0,81564.0,28.834699404761903,0.0
Europaveien0,E18 Tvedestrand-Bamble,2021-03-31,7.070575000423187e+17,59.00007,9.59379,3967.0,81564.0,19.762573457223002,0.0
Europaveien0,E18 Tvedestrand-Bamble,2021-04-30,7.070575000423187e+17,59.00007,9.59379,3967.0,81564.0,2.8680458333333334,0.0
Europaveien0,E18 Tvedestrand-Bamble,2021-05-31,7.070575000423187e+17,59.00007,9.59379,3967.0,81564.0,2.554956989247312,0.0
