StasjonsNavn,date,MaalepunktID,Lat,Lon,PostKode,AarligForbruk,ForbruksVerdi,Temperatur
743.201,2021-09-30,3.563569800385658e+20,29279.627999999997,3842.38512,2276064.0,8770608.0,932.67,6788.7
743.201,2021-10-31,5.2675783755700706e+20,43280.4025,5679.7161,3364420.0,12964490.0,1411.86,8007.9
743.201,2021-11-30,4.921120200532576e+20,40433.772,5306.15088,3143136.0,12111792.0,1334.3,4412.8
743.201,2021-12-31,5.0908140005509405e+20,41828.04,5489.1216,3251520.0,12529440.0,1315.22,725.6
743.202,2021-08-31,8.484690000918254e+19,6968.1492,904.1352,541920.0,13035240.0,1191.71,1987.7
743.202,2021-09-30,5.090814000550953e+20,41808.8952,5424.8112,3251520.0,78211440.0,8142.08,10194.0
743.202,2021-10-31,5.267578375570083e+20,43260.59295,5613.1727,3364420.0,80927115.0,8375.42,8007.9
743.202,2021-11-30,4.921120200532588e+20,40415.26536,5243.98416,3143136.0,75604392.0,7811.49,4412.8
743.202,2021-12-31,5.090814000550953e+20,41808.8952,5424.8112,3251520.0,78211440.0,8126.2,725.6
Bråten bru,2021-01-31,5.260507800568406e+20,43581.3624,6625.7887200000005,3607656.0,33122880.0,6103.87,-2786.1
Bråten bru,2021-02-28,4.7514264005133985e+20,39363.811200000004,5984.5833600000005,3258528.0,29917440.0,4773.72,-1431.2
Bråten bru,2021-03-31,5.253437225567641e+20,43522.7853,6616.88309,3602807.0,33078360.0,4059.71,2731.7
Bråten bru,2021-04-30,5.09081400055007e+20,42175.512,6412.0536,3491280.0,32054400.0,2975.91,3543.3
Bråten bru,2021-05-31,5.260507800568406e+20,43581.3624,6625.7887200000005,3607656.0,33122880.0,2152.84,7030.8
Bråten bru,2021-06-30,5.09081400055007e+20,42175.512,6412.0536,3491280.0,32054400.0,1613.54,11415.6
Bråten bru,2021-07-31,5.260507800568406e+20,43581.3624,6625.7887200000005,3607656.0,33122880.0,1843.74,13619.6
Bråten bru,2021-08-31,5.260507800568406e+20,43581.3624,6625.7887200000005,3607656.0,33122880.0,2427.38,11274.5
Bråten bru,2021-09-30,4.7514264005133985e+20,39363.811200000004,5984.5833600000005,3258528.0,29917440.0,2913.23,8639.3
